Xline	Inline	FS11	shallow	Truncation	TopForesets	MFS4	FS8	FS7	FS6	FS4
407	244	596.04071	464.88245	1019.8417	1044.5601	1058.6802	758.04639	925.38336	947.3045	1093.9725
408	244	595.58368	464.95267	1019.4711	1044.1602	1058.5616	757.22754	924.65668	947.3045	1093.6866
409	244	595.20538	465.02289	1019.133	1043.8201	1058.3121	756.60864	923.94391	947.3045	1093.4348
410	244	594.96234	465.09311	1018.7883	1043.5201	1057.9611	756.41345	923.23822	947.3045	1093.1019
411	244	594.71558	465.1633	1018.4111	1043.2201	1057.5762	755.85168	922.54651	947.3045	1092.6709
412	244	594.43781	465.23352	1018.0016	1042.9701	1057.2125	753.06659	921.86169	947.3045	1092.0734
413	244	594.12616	465.30374	1017.5464	1042.78	1056.9291	751.62408	921.19788	947.3045	1091.5527
414	244	593.7851	465.37396	1017.0132	1042.6101	1056.7726	750.34344	920.54114	947.3045	1091.1174
415	244	593.34882	465.44415	1016.415	1042.45	1056.2776	748.89618	919.90527	947.3045	1090.8186
416	244	592.97418	465.51437	1015.7714	1042.28	1056.0239	747.60596	919.29736	947.3045	1090.5283
417	244	592.69159	465.58459	1015.1471	1042.16	1055.6729	746.74902	918.71039	947.3045	1090.2893
418	244	592.53442	464.28583	1014.5619	1042.0302	1055.2542	746.15869	918.15833	947.3045	1089.9523
419	244	592.34735	464.17819	1014.0613	1041.88	1054.8142	746.0968	917.63434	947.3045	1089.5126
420	244	592.19617	463.7919	1013.6126	1041.7301	1054.4124	746.05396	917.15918	947.3045	1088.8938
421	244	591.95447	463.38089	1013.203	1041.55	1054.1079	745.78729	916.71198	947.3045	1088.3816
422	244	591.58331	463.14981	1012.8129	1041.37	1053.9429	745.2113	916.32068	947.3045	1087.9803
423	244	590.95679	462.95578	1012.4228	1041.1602	1053.5369	744.32104	915.97131	947.3045	1087.7329
424	244	590.39777	463.0863	1012.0391	1040.9102	1053.3762	743.76874	915.69183	947.3045	1087.4982
425	244	589.97577	462.70883	1011.6165	1040.6401	1053.135	743.29749	915.48224	947.3045	1087.272
426	244	589.77411	462.9646	1011.1613	1040.3401	1052.8517	743.04993	915.35645	947.3045	1087.0629
427	244	589.57336	463.00165	1010.7517	1040.0201	1052.543	742.2453	915.34943	947.3045	1086.8708
428	244	589.32983	463.01047	1010.459	1039.7	1052.2427	742.03113	915.49615	947.3045	1086.6873
429	244	589.06256	462.80054	1010.3226	1039.4202	1052.0057	741.70258	915.20972	947.3045	1086.5122
430	244	588.82623	462.80585	1010.3226	1039.1501	1051.8788	741.28845	914.85333	947.3045	1086.3458
431	244	588.64966	462.92755	1010.3681	1038.91	1051.587	740.83136	914.42712	947.3045	1086.1879
432	244	588.44501	462.90991	1010.3551	1038.72	1051.5066	740.52667	913.3161	947.3045	1086.0343
433	244	588.24231	462.60123	1010.2315	1038.5901	1051.3713	740.341	912.70825	947.3045	1085.8806
434	244	588.03162	462.06143	1010.069	1038.4801	1051.1852	739.6792	912.0863	947.3045	1085.7355
435	244	587.87604	461.59927	1009.9064	1038.37	1050.9695	737.87494	911.46448	947.3045	1085.5903
436	244	587.66193	461.48285	1009.7504	1038.2701	1050.7495	737.62256	910.84253	947.3045	1085.4496
437	244	587.38464	461.13358	1009.5618	1038.15	1050.5592	737.31787	910.2207	947.3045	1085.313
438	244	587.0473	460.68552	1009.2757	1038.02	1050.4619	736.93707	909.5918	947.3045	1085.1764
439	244	586.72083	460.95895	1008.9116	1037.9	1050.2548	736.4657	908.97693	947.3045	1085.0398
440	244	586.3725	460.6626	1008.5345	1037.78	1050.1954	735.93726	908.36206	947.3045	1084.8989
441	244	585.99597	460.45975	1008.2809	1037.6401	1050.0813	735.50403	907.75415	947.3045	1084.7496
442	244	585.6593	460.5444	1008.1833	1037.5	1049.9247	735.08032	907.14624	947.3045	1084.5959
443	244	585.36804	460.38916	1008.2094	1037.3601	1049.7344	734.89941	906.55231	947.3045	1084.4338
444	244	585.12079	460.24277	1008.2159	1037.23	1049.5482	734.5376	905.96533	947.3045	1084.2716
445	244	584.84259	460.18103	1008.1639	1037.1	1049.3918	734.00439	905.38538	947.3045	1084.1008
446	244	584.71759	460.1687	1007.9948	1036.96	1049.2987	733.34265	904.81946	947.3045	1083.9302
447	244	584.65588	460.02756	1007.7477	1036.7902	1048.9985	732.57611	904.26746	947.3045	1083.7509
448	244	584.58124	459.82471	1007.4031	1036.61	1048.9435	731.73822	903.73633	947.3045	1083.5631
449	244	584.42456	459.83704	1007.0455	1036.38	1048.8461	730.99078	903.2193	947.3045	1083.3754
450	244	584.18768	459.71884	1006.7334	1036.1501	1048.7024	730.54803	902.73016	947.3045	1083.179
451	244	583.96088	459.87057	1006.4929	1035.9399	1048.5248	730.09576	902.276	947.3045	1082.9741
452	244	583.70941	459.73297	1006.2783	1035.72	1048.3556	729.57684	901.85675	947.3045	1082.7607
453	244	583.58386	459.21262	1006.0052	1035.48	1048.2075	728.79608	901.50043	947.3045	1082.543
454	244	583.39264	458.80334	1005.6541	1035.22	1048.106	727.8963	900.75977	947.3045	1082.3212
455	244	583.23242	457.43802	1005.368	1034.9601	1047.6873	726.97272	900.78766	947.3045	1082.0948
456	244	583.13519	456.80124	1005.199	1034.7101	1047.5731	726.14429	900.98334	947.3045	1081.8558
457	244	582.74323	456.5878	1005.1794	1034.4501	1047.4208	725.56348	900.63391	947.3045	1081.6084
458	244	582.00995	457.117	1005.0949	1034.22	1047.2389	725.23022	900.19373	947.3045	1081.3566
459	244	580.5766	457.28104	1004.7828	1034	1047.0486	724.88745	899.69763	947.3045	1081.0963
460	244	578.79425	458.47348	1004.0676	1033.7701	1046.871	724.29712	899.15265	947.3045	1080.8317
461	244	578.20398	458.36765	1003.1962	1033.58	1046.7229	723.46393	898.5517	947.3045	1080.5585
462	244	577.9856	458.60226	1002.4941	1033.42	1046.5961	722.55463	897.93683	947.3045	1080.281
